"Date","Price","Open","High","Low","Change %"
"Aug 30, 2016","8,762.000","8,762.000","8,762.000","8,762.000","0.03%"
"Aug 29, 2016","8,759.000","8,759.000","8,759.000","8,759.000","-0.19%"
"Aug 26, 2016","8,776.000","8,776.000","8,776.000","8,776.000","-0.35%"
"Aug 25, 2016","8,807.000","8,807.000","8,807.000","8,807.000","-0.84%"
"Aug 24, 2016","8,882.000","8,882.000","8,882.000","8,882.000","0.41%"
"Aug 23, 2016","8,846.000","8,846.000","8,846.000","8,846.000","-0.49%"
"Aug 22, 2016","8,890.000","8,890.000","8,890.000","8,890.000","-0.39%"
"Aug 19, 2016","8,925.000","8,925.000","8,925.000","8,925.000","0.45%"
"Aug 18, 2016","8,885.000","8,885.000","8,885.000","8,885.000","0.12%"
"Aug 17, 2016","8,874.000","8,874.000","8,874.000","8,874.000","0.09%"
"Aug 16, 2016","8,866.000","8,866.000","8,866.000","8,866.000","-0.56%"
"Aug 15, 2016","8,916.000","8,916.000","8,916.000","8,916.000","-0.15%"
"Aug 12, 2016","8,929.000","8,929.000","8,929.000","8,929.000","0.92%"
"Aug 10, 2016","8,848.000","8,848.000","8,848.000","8,848.000","0.42%"
"Aug 09, 2016","8,811.000","8,811.000","8,811.000","8,811.000","-0.28%"
"Aug 08, 2016","8,836.000","8,836.000","8,836.000","8,836.000","-1.78%"
"Aug 05, 2016","8,996.000","8,996.000","8,996.000","8,996.000","0.47%"
"Aug 04, 2016","8,954.000","8,954.000","8,954.000","8,954.000","-0.54%"
"Aug 03, 2016","9,003.000","9,003.000","9,003.000","9,003.000","1.73%"
"Aug 02, 2016","8,850.000","8,850.000","8,850.000","8,850.000","0.00%"
"Aug 01, 2016","8,850.000","8,850.000","8,850.000","8,850.000","-0.74%"
"Jul 29, 2016","8,916.000","8,916.000","8,916.000","8,916.000","0.27%"
"Jul 28, 2016","8,892.000","8,892.000","8,892.000","8,892.000","1.61%"
"Jul 27, 2016","8,751.000","8,751.000","8,751.000","8,751.000","-1.22%"
"Jul 26, 2016","8,859.000","8,859.000","8,859.000","8,859.000","-0.16%"
"Jul 25, 2016","8,873.000","8,873.000","8,873.000","8,873.000","0.12%"
"Jul 22, 2016","8,862.000","8,862.000","8,862.000","8,862.000","-0.46%"
"Jul 21, 2016","8,903.000","8,903.000","8,903.000","8,903.000","-0.49%"
"Jul 20, 2016","8,947.000","8,947.000","8,947.000","8,947.000","0.06%"
"Jul 19, 2016","8,942.000","8,942.000","8,942.000","8,942.000","0.36%"
"Jul 15, 2016","8,910.000","8,910.000","8,910.000","8,910.000","-0.22%"
"Jul 14, 2016","8,930.000","8,930.000","8,930.000","8,930.000","0.57%"
"Jul 13, 2016","8,879.000","8,879.000","8,879.000","8,879.000","0.15%"
"Jul 12, 2016","8,866.000","8,866.000","8,866.000","8,866.000","1.62%"
"Jul 11, 2016","8,725.000","8,725.000","8,725.000","8,725.000","-0.46%"
"Jul 08, 2016","8,765.000","8,765.000","8,765.000","8,765.000","-0.23%"
"Jul 07, 2016","8,785.000","8,785.000","8,785.000","8,785.000","-0.02%"
"Jul 06, 2016","8,787.000","8,787.000","8,787.000","8,787.000","-0.78%"
