"Date","Price","Open","High","Low","Change %"
"Jun 09, 2017","225.31","225.31","225.31","225.31","-0.08%"
"Jun 08, 2017","225.50","225.50","225.50","225.50","0.03%"
"Jun 07, 2017","225.44","225.44","225.44","225.44","0.18%"
"Jun 06, 2017","225.04","225.04","225.04","225.04","-0.28%"
"Jun 05, 2017","225.67","225.67","225.67","225.67","-0.12%"
"Jun 02, 2017","225.93","225.93","225.93","225.93","0.37%"
"Jun 01, 2017","225.10","225.10","225.10","225.10","0.77%"
"May 31, 2017","223.38","223.38","223.38","223.38","-0.03%"
"May 30, 2017","223.45","223.45","223.45","223.45","-0.10%"
"May 26, 2017","223.68","223.68","223.68","223.68","0.04%"
"May 25, 2017","223.58","223.58","223.58","223.58","0.46%"
"May 24, 2017","222.56","222.56","222.56","222.56","0.25%"
"May 23, 2017","222.00","222.00","222.00","222.00","0.19%"
"May 22, 2017","221.59","221.59","221.59","221.59","0.52%"
"May 19, 2017","220.45","220.45","220.45","220.45","0.68%"
"May 18, 2017","218.96","218.96","218.96","218.96","0.37%"
"May 17, 2017","218.16","218.16","218.16","218.16","-1.79%"
"May 16, 2017","222.13","222.13","222.13","222.13","-0.05%"
"May 15, 2017","222.24","222.24","222.24","222.24","0.49%"
"May 12, 2017","221.15","221.15","221.15","221.15","-0.15%"
"May 11, 2017","221.48","221.48","221.48","221.48","-0.18%"
"May 10, 2017","221.89","221.89","221.89","221.89","0.15%"
"May 09, 2017","221.55","221.55","221.55","221.55","-0.10%"
"May 08, 2017","221.77","221.77","221.77","221.77","0.01%"
"May 05, 2017","221.74","221.74","221.74","221.74","0.41%"
"May 04, 2017","220.84","220.84","220.84","220.84","0.07%"
"May 03, 2017","220.69","220.69","220.69","220.69","-0.11%"
"May 02, 2017","220.93","220.93","220.93","220.93","0.12%"
"May 01, 2017","220.67","220.67","220.67","220.67","0.17%"
"Apr 28, 2017","220.29","220.29","220.29","220.29","-0.19%"
"Apr 27, 2017","220.71","220.71","220.71","220.71","0.07%"
"Apr 26, 2017","220.56","220.56","220.56","220.56","-0.05%"
"Apr 25, 2017","220.67","220.67","220.67","220.67","0.61%"
"Apr 24, 2017","219.33","219.33","219.33","219.33","1.08%"
"Apr 21, 2017","216.98","216.98","216.98","216.98","-0.30%"
"Apr 20, 2017","217.64","217.64","217.64","217.64","0.76%"
