ID,diagOnly,meta,metaRate,penalty,initAlpha,initD,wGen,initLambda,finalLambda,tauLambda
204,1,1,0.1,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
205,0,0,0.001,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
206,1,0,0.001,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
207,0,1,0.001,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
208,1,1,0.001,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
209,0,0,0.01,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
210,1,0,0.01,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
211,0,1,0.01,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
212,1,1,0.01,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
213,0,0,0.1,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
214,1,0,0.1,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
215,0,1,0.1,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
216,1,1,0.1,0.001,0.01,0.01,0.0001,1e-05,0.99,0.05
217,0,0,0.001,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
218,1,0,0.001,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
219,0,1,0.001,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
220,1,1,0.001,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
221,0,0,0.01,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
222,1,0,0.01,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
223,0,1,0.01,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
224,1,1,0.01,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
225,0,0,0.1,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
226,1,0,0.1,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
227,0,1,0.1,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
228,1,1,0.1,0.0001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
229,0,0,0.001,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
230,1,0,0.001,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
231,0,1,0.001,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
232,1,1,0.001,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
233,0,0,0.01,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
234,1,0,0.01,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
235,0,1,0.01,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
236,1,1,0.01,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
237,0,0,0.1,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
238,1,0,0.1,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
239,0,1,0.1,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
240,1,1,0.1,0.001,0.0001,0.0001,0.00015,1e-05,0.99,0.05
241,0,0,0.001,0.0001,0.001,0.0001,0.00015,1e-05,0.99,0.05
242,1,0,0.001,0.0001,0.001,0.0001,0.00015,1e-05,0.99,0.05
243,0,1,0.001,0.0001,0.001,0.0001,0.00015,1e-05,0.99,0.05
244,1,1,0.001,0.0001,0.001,0.0001,0.00015,1e-05,0.99,0.05
245,0,0,0.01,0.0001,0.001,0.0001,0.00015,1e-05,0.99,0.05
246,1,0,0.01,0.0001,0.001,0.0001,0.00015,1e-05,0.99,0.05
247,0,1,0.01,0.0001,0.001,0.0001,0.00015,1e-05,0.99,0.05
248,1,1,0.01,0.0001,0.001,0.0001,0.00015,1e-05,0.99,0.05
249,0,0,0.1,0.0001,0.001,0.0001,0.00015,1e-05,0.99,0.05
250,1,0,0.1,0.0001,0.001,0.0001,0.00015,1e-05,0.99,0.05
